Coder_1,Coder_2,Coder_3
MotiveCat_Saving_face|Avoid_difficult_discussion|Negative_career_consequence|Underqualified_underperforming_for_position,MotiveCat_Saving_face|Maintain_morale|Maintain_privacy|MotiveCat_Power_distance|Power_difference|Maintain_hierarchy|Negative_career_consequence,MotiveCat_Saving_face|Maintain_professionalism|Negative_career_consequence
MotiveCat_Saving_face|Avoid_difficult_discussion|Avoid_drama|Maintain_relationship|Maintain_reputation|MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Affair,MotiveCat_Saving_face|Avoid_drama|MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Affair,MotiveCat_Saving_face|Avoid_drama|Affair
|,|,|
MotiveCat_Instrumental|Concealing_facts|Gain_advantage_over_others|Positive_surprise,MotiveCat_Instrumental|Gain_advantage_over_others|Positive_surprise,MotiveCat_Instrumental|Gain_advantage_over_others|Unfair_distribution_of_rewards
|,|,|
MotiveCat_Normative|Norms|MotiveCat_Instrumental|Concealing_facts|Positive_surprise,MotiveCat_Normative|Social_bond|MotiveCat_Instrumental|Concealing_facts|Positive_surprise,MotiveCat_Instrumental|Concealing_facts|Positive_surprise
MotiveCat_Fear|Scared_to_discuss|Underqualified_underperforming_for_position,MotiveCat_Power_distance|Maintain_hierarchy|Underqualified_underperforming_for_position,MotiveCat_Instrumental|Secret_to_outsiders|Underqualified_underperforming_for_position
MotiveCat_Saving_face|Maintain_morale|MotiveCat_Efficacy_concerns|Efficacy_concerns|MotiveCat_Instrumental|Gain_advantage_over_others|MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Bad_news_about_company|Leaving_company,MotiveCat_Efficacy_concerns|Efficacy_concerns|Bad_news_about_company|Contradictory_messaging|Negative_career_consequence,MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Leaving_company|Negative_career_consequence
MotiveCat_Saving_face|Protect_feelings|Maintain_relationship|Maintain_reputation|MotiveCat_Protective|Protect_other|Illegal_unwanted_behaviour,MotiveCat_Saving_face|Maintain_relationship|Illegal_unwanted_behaviour,MotiveCat_Saving_face|Avoid_drama|Illegal_unwanted_behaviour
MotiveCat_Saving_face|Maintain_privacy|Maintain_professionalism|MotiveCat_Power_distance|Maintain_hierarchy|Leaving_company|Positive_career_change,MotiveCat_Instrumental|Concealing_facts|Leaving_company|Positive_career_change,MotiveCat_Saving_face|Maintain_privacy|MotiveCat_Protective|Protect_other|Leaving_company
MotiveCat_Fear|Avoid_trouble|Affair|Lack_of_professionalism,MotiveCat_Fear|Avoid_trouble|Scared_to_discuss|MotiveCat_Power_distance|Power_difference|Affair,MotiveCat_Normative|Norms|Social_bond|MotiveCat_Fear|Avoid_trouble|Affair
|,|,|
MotiveCat_Saving_face|Avoid_difficult_discussion|Maintain_relationship|MotiveCat_Protective|Avoid_discrimination|Closeted_sexuality,MotiveCat_Saving_face|Avoid_difficult_discussion|MotiveCat_Protective|Avoid_discrimination|Closeted_sexuality,MotiveCat_Saving_face|Protect_feelings|Avoid_difficult_discussion|Discriminatory_behaviour
MotiveCat_Saving_face|Maintain_privacy|Avoid_difficult_discussion|Maintain_relationship|MotiveCat_Instrumental|Concealing_facts|Closeted_sexuality,MotiveCat_Saving_face|Maintain_privacy|Avoid_difficult_discussion|Closeted_sexuality,MotiveCat_Saving_face|Protect_feelings|Avoid_difficult_discussion|Closeted_sexuality
MotiveCat_Saving_face|Maintain_reputation|MotiveCat_Protective|Protect_other|MotiveCat_Fear|Avoid_trouble|MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Lack_of_professionalism|Violation_of_policy,MotiveCat_Saving_face|Avoid_drama|MotiveCat_Protective|Protect_other|MotiveCat_Efficacy_concerns|Efficacy_concerns|Dating|Illegal_unwanted_behaviour,MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Negative_career_consequence|Violation_of_policy
MotiveCat_Saving_face|Avoid_drama|Maintain_reputation|MotiveCat_Power_distance|Maintain_hierarchy|MotiveCat_Instrumental|Concealing_facts|Leaving_company,MotiveCat_Saving_face|Protect_feelings|Maintain_reputation|MotiveCat_Power_distance|Power_difference|Leaving_company|Negative_career_consequence,MotiveCat_Saving_face|Maintain_privacy|Leaving_company
MotiveCat_Power_distance|Maintain_hierarchy|MotiveCat_Instrumental|Concealing_facts|Leaving_company,MotiveCat_Saving_face|Maintain_privacy|Leaving_company,MotiveCat_Saving_face|Maintain_privacy|Leaving_company
MotiveCat_Normative|Workplace_culture|MotiveCat_Efficacy_concerns|Efficacy_concerns|Abusive_supervision|Corruption_nepotism|Underqualified_underperforming_for_position,MotiveCat_Normative|Workplace_culture|MotiveCat_Power_distance|Power_difference|MotiveCat_Efficacy_concerns|Efficacy_concerns|MotiveCat_Instrumental|Gain_advantage_over_others|Underqualified_underperforming_for_position|Unfair_distribution_of_rewards,MotiveCat_Normative|Workplace_culture|Underqualified_underperforming_for_position
MotiveCat_Saving_face|Avoid_difficult_discussion|MotiveCat_Normative|Social_bond|MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Affair,MotiveCat_Saving_face|Avoid_difficult_discussion|Affair|Dating,MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Affair
MotiveCat_Saving_face|Maintain_morale|MotiveCat_Normative|Norms|MotiveCat_Fear|Avoid_trouble|MotiveCat_Power_distance|Maintain_hierarchy|MotiveCat_Instrumental|Gain_advantage_over_others|Abusive_supervision,MotiveCat_Fear|Avoid_trouble|MotiveCat_Power_distance|Power_difference|Maintain_hierarchy|MotiveCat_Instrumental|Gain_advantage_over_others|Abusive_supervision|Corruption_nepotism,MotiveCat_Fear|Scared_to_discuss|MotiveCat_Instrumental|Gain_advantage_over_others|Abusive_supervision
MotiveCat_Saving_face|Maintain_privacy|Protect_feelings|Maintain_relationship|Closeted_sexuality,MotiveCat_Saving_face|Maintain_privacy|Closeted_sexuality,MotiveCat_Saving_face|Maintain_privacy|Closeted_sexuality
MotiveCat_Instrumental|Concealing_facts|Underqualified_underperforming_for_position,MotiveCat_Saving_face|Maintain_reputation|MotiveCat_Normative|Workplace_culture|Bad_news_about_company|Contradictory_messaging,MotiveCat_Normative|Norms|Bad_news_about_company
MotiveCat_Saving_face|Maintain_morale|Protect_feelings|Maintain_relationship|Negative_career_consequence|Underqualified_underperforming_for_position,MotiveCat_Saving_face|Maintain_morale|Protect_feelings|Maintain_reputation|Negative_career_consequence,MotiveCat_Saving_face|Maintain_morale|Maintain_reputation|Negative_career_consequence|Underqualified_underperforming_for_position
MotiveCat_Saving_face|Protect_feelings|Avoid_difficult_discussion|Avoid_drama|Maintain_relationship|MotiveCat_Power_distance|Power_difference|Corruption_nepotism|Underqualified_underperforming_for_position,MotiveCat_Saving_face|Maintain_morale|Protect_feelings,MotiveCat_Saving_face|Protect_feelings|Corruption_nepotism|Underqualified_underperforming_for_position
MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Breakdown_in_relationship,MotiveCat_Power_distance|Power_difference|Breakdown_in_relationship|Underqualified_underperforming_for_position,MotiveCat_Normative|Norms|Inappropriate_behaviour
MotiveCat_Saving_face|Avoid_difficult_discussion|Bad_news_about_company|Negative_career_consequence,MotiveCat_Saving_face|Avoid_difficult_discussion|Negative_career_consequence,MotiveCat_Saving_face|Avoid_difficult_discussion|Negative_career_consequence
MotiveCat_Normative|Norms|Workplace_culture,MotiveCat_Normative|Workplace_culture|Inappropriate_behaviour,MotiveCat_Normative|Workplace_culture|Inappropriate_behaviour
MotiveCat_Saving_face|Avoid_difficult_discussion|Avoid_drama|MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Dating|Violation_of_policy,|,MotiveCat_Saving_face|Avoid_difficult_discussion|Dating|Lack_of_professionalism
MotiveCat_Normative|Workplace_culture|Contradictory_messaging,MotiveCat_Saving_face|Avoid_difficult_discussion|MotiveCat_Normative|Norms|Workplace_culture|Bad_news_about_company,MotiveCat_Normative|Workplace_culture|Violation_of_policy
MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Affair|Dating,MotiveCat_Power_distance|Power_difference|Affair|Dating|Lack_of_professionalism,MotiveCat_Normative|Norms|Affair|Dating
MotiveCat_Saving_face|Avoid_difficult_discussion|MotiveCat_Instrumental|Concealing_facts|Negative_career_consequence,MotiveCat_Saving_face|Maintain_professionalism|MotiveCat_Normative|Social_bond|MotiveCat_Instrumental|Concealing_facts|Negative_career_consequence,MotiveCat_Normative|Norms|Negative_career_consequence
|,|,|
MotiveCat_Saving_face|Protect_feelings|Avoid_drama|Maintain_relationship|Dating|Violation_of_policy,MotiveCat_Power_distance|Power_difference|Maintain_hierarchy|Dating,MotiveCat_Normative|Norms|Dating
MotiveCat_Saving_face|Protect_feelings|Avoid_difficult_discussion|Maintain_relationship|Maintain_reputation|MotiveCat_Fear|Avoid_trouble|MotiveCat_Instrumental|Secret_to_outsiders|Affair,MotiveCat_Saving_face|Maintain_reputation|Affair,MotiveCat_Saving_face|Maintain_reputation|Affair
Negative_career_consequence,MotiveCat_Normative|Norms|Negative_career_consequence|Underqualified_underperforming_for_position,Negative_career_consequence|Underqualified_underperforming_for_position
MotiveCat_Saving_face|Maintain_reputation|MotiveCat_Normative|Norms|Workplace_culture|MotiveCat_Power_distance|Maintain_hierarchy|Breakdown_in_relationship|Contradictory_messaging|Corruption_nepotism|Lack_of_professionalism|Unfair_distribution_of_rewards|Violation_of_policy,MotiveCat_Saving_face|Maintain_morale|MotiveCat_Power_distance|Maintain_hierarchy|Corruption_nepotism|Seniority_over_competence|Unfair_distribution_of_rewards,MotiveCat_Saving_face|Maintain_morale|Corruption_nepotism|Unfair_distribution_of_rewards
MotiveCat_Saving_face|Maintain_privacy|Avoid_difficult_discussion|Avoid_drama|Maintain_reputation|MotiveCat_Protective|Protect_other|Extrarelational_desires,MotiveCat_Saving_face|Avoid_drama|Maintain_reputation|Dating|Lack_of_professionalism,MotiveCat_Saving_face|Avoid_difficult_discussion|Avoid_drama|MotiveCat_Protective|Protect_other|Inappropriate_behaviour
MotiveCat_Saving_face|Avoid_drama|Maintain_relationship|MotiveCat_Normative|Norms|Workplace_culture|MotiveCat_Power_distance|Power_difference|Maintain_hierarchy|Abusive_supervision|Corruption_nepotism|Discriminatory_behaviour|Seniority_over_competence,MotiveCat_Saving_face|Avoid_difficult_discussion|MotiveCat_Normative|Workplace_culture|MotiveCat_Power_distance|Maintain_hierarchy|Bad_news_about_company|Corruption_nepotism|Discriminatory_behaviour|Seniority_over_competence|Unfair_distribution_of_rewards,MotiveCat_Saving_face|Avoid_difficult_discussion|MotiveCat_Power_distance|Maintain_hierarchy|Discriminatory_behaviour|Seniority_over_competence
MotiveCat_Instrumental|Concealing_facts|Positive_surprise,MotiveCat_Instrumental|Concealing_facts|Positive_surprise,MotiveCat_Instrumental|Concealing_facts|Positive_surprise
MotiveCat_Saving_face|Maintain_morale|Protect_feelings|MotiveCat_Normative|Norms,MotiveCat_Saving_face|Protect_feelings|Maintain_professionalism|MotiveCat_Normative|Workplace_culture|Lack_of_professionalism,MotiveCat_Saving_face|Maintain_morale|MotiveCat_Normative|Workplace_culture|Lack_of_professionalism
MotiveCat_Saving_face|Maintain_privacy|Protect_feelings|MotiveCat_Instrumental|Concealing_facts|Gain_advantage_over_others|Breakdown_in_relationship|Dating,MotiveCat_Saving_face|Protect_feelings|Avoid_drama|Maintain_relationship|MotiveCat_Instrumental|Secret_to_outsiders|Dating|Troubles_in_romantic_relationship,MotiveCat_Saving_face|Maintain_privacy|Protect_feelings|Dating
MotiveCat_Saving_face|Maintain_privacy|Protect_feelings|Maintain_relationship|MotiveCat_Instrumental|Concealing_facts|MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Closeted_sexuality,MotiveCat_Saving_face|Maintain_privacy|Maintain_relationship|MotiveCat_Instrumental|Concealing_facts|Closeted_sexuality|Dating,MotiveCat_Saving_face|Maintain_privacy|Closeted_sexuality
MotiveCat_Saving_face|Avoid_difficult_discussion|Avoid_drama|MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Violation_of_policy,MotiveCat_Normative|Social_bond,MotiveCat_Normative|Norms|MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Dating
MotiveCat_Saving_face|Maintain_reputation|Maintain_professionalism|MotiveCat_Protective|Protect_other|MotiveCat_Power_distance|Power_difference|MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Affair|Violation_of_policy,MotiveCat_Saving_face|Maintain_reputation|MotiveCat_Protective|Protect_other|MotiveCat_Power_distance|Power_difference|Maintain_hierarchy|Affair,MotiveCat_Saving_face|Maintain_privacy|MotiveCat_Normative|Norms|MotiveCat_Protective|Protect_other|MotiveCat_Power_distance|Maintain_hierarchy|Affair
MotiveCat_Saving_face|Maintain_morale|Maintain_relationship|MotiveCat_Instrumental|Secret_to_outsiders|Leaving_company,MotiveCat_Instrumental|Gain_advantage_over_others|Leaving_company,MotiveCat_Instrumental|Concealing_facts|Leaving_company
|,|,|
MotiveCat_Saving_face|Maintain_privacy|Avoid_difficult_discussion|Avoid_drama|Dating|Discriminatory_behaviour,MotiveCat_Power_distance|Power_difference|Maintain_hierarchy|Dating|Discriminatory_behaviour,MotiveCat_Normative|Norms|Dating|Discriminatory_behaviour
MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Underqualified_underperforming_for_position,MotiveCat_Normative|Norms|Underqualified_underperforming_for_position,MotiveCat_Normative|Norms|MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Underqualified_underperforming_for_position
MotiveCat_Saving_face|Maintain_morale|Avoid_drama|Maintain_professionalism|MotiveCat_Instrumental|Concealing_facts|Secret_to_outsiders|Affair|Positive_career_change,MotiveCat_Saving_face|Maintain_morale|Avoid_drama|Maintain_professionalism|Affair|Positive_career_change,MotiveCat_Saving_face|Maintain_morale|MotiveCat_Instrumental|Concealing_facts|Secret_to_outsiders|Affair|Positive_career_change
MotiveCat_Saving_face|Avoid_difficult_discussion|MotiveCat_Normative|Norms|Affair,MotiveCat_Saving_face|Avoid_drama|MotiveCat_Normative|Norms|Affair,MotiveCat_Normative|Norms|Affair
MotiveCat_Saving_face|Avoid_difficult_discussion|Avoid_drama|Maintain_relationship|MotiveCat_Instrumental|Gain_advantage_over_others|MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Underqualified_underperforming_for_position,MotiveCat_Saving_face|Avoid_difficult_discussion|Maintain_professionalism|Underqualified_underperforming_for_position,MotiveCat_Instrumental|Concealing_facts|Underqualified_underperforming_for_position
MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Affair,MotiveCat_Normative|Norms|Affair,Affair
MotiveCat_Normative|Workplace_culture|MotiveCat_Protective|Protect_other|MotiveCat_Power_distance|Maintain_hierarchy|MotiveCat_Instrumental|Concealing_facts|Illegal_unwanted_behaviour|Violation_of_policy,MotiveCat_Saving_face|Avoid_difficult_discussion|MotiveCat_Power_distance|Maintain_hierarchy|Illegal_unwanted_behaviour,MotiveCat_Fear|Avoid_trouble|MotiveCat_Power_distance|Maintain_hierarchy|Illegal_unwanted_behaviour|Negative_career_consequence
MotiveCat_Saving_face|Maintain_privacy|Protect_feelings|Health_condition,MotiveCat_Saving_face|Protect_feelings|Health_condition,MotiveCat_Saving_face|Protect_feelings|Health_condition
MotiveCat_Saving_face|Maintain_morale|Protect_feelings|Avoid_difficult_discussion|Avoid_drama|Maintain_relationship|MotiveCat_Efficacy_concerns|Efficacy_concerns|Underqualified_underperforming_for_position,MotiveCat_Saving_face|Maintain_morale|Protect_feelings|Underqualified_underperforming_for_position,MotiveCat_Saving_face|Maintain_morale|Underqualified_underperforming_for_position
MotiveCat_Saving_face|Maintain_privacy|Maintain_relationship|Maintain_reputation|MotiveCat_Protective|Protect_other|Affair,MotiveCat_Saving_face|Avoid_drama|Maintain_relationship|Affair,MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Affair
MotiveCat_Saving_face|Avoid_difficult_discussion|Avoid_drama|Maintain_relationship|Discriminatory_behaviour,MotiveCat_Saving_face|Avoid_difficult_discussion|Discriminatory_behaviour,MotiveCat_Fear|Avoid_trouble|Discriminatory_behaviour
MotiveCat_Saving_face|Maintain_privacy|Protect_feelings|Maintain_relationship|Maintain_reputation|MotiveCat_Protective|Avoid_discrimination|MotiveCat_Fear|Avoid_trouble|MotiveCat_Instrumental|Concealing_facts|MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Closeted_sexuality,MotiveCat_Saving_face|Protect_feelings|MotiveCat_Protective|Avoid_discrimination|Closeted_sexuality,MotiveCat_Protective|Avoid_discrimination|Closeted_sexuality|Discriminatory_behaviour
MotiveCat_Saving_face|Maintain_privacy|Avoid_difficult_discussion|Maintain_relationship|Dating,MotiveCat_Saving_face|Maintain_privacy|Dating,MotiveCat_Saving_face|Maintain_privacy|Dating
MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Underqualified_underperforming_for_position,MotiveCat_Normative|Norms|Bad_news_about_company|Underqualified_underperforming_for_position,MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Underqualified_underperforming_for_position
