Coder_1,Coder_2,Coder_3
MotiveCat_Normative|Norms|Workplace_culture|MotiveCat_Fear|Avoid_trouble|Scared_to_discuss|MotiveCat_Power_distance|Power_difference|Affair,MotiveCat_Fear|Avoid_trouble|MotiveCat_Power_distance|Power_difference|Affair,MotiveCat_Fear|Avoid_trouble|Affair|Lack_of_professionalism
MotiveCat_Saving_face|Maintain_professionalism|Breakdown_in_relationship,MotiveCat_Saving_face|Maintain_professionalism|Bad_news_about_company,MotiveCat_Saving_face|Avoid_difficult_discussion|Breakdown_in_relationship
MotiveCat_Saving_face|Maintain_privacy|Avoid_difficult_discussion|MotiveCat_Normative|Workplace_culture|Financial_information,MotiveCat_Normative|Norms|Workplace_culture|Financial_information,MotiveCat_Normative|Workplace_culture|Financial_information
MotiveCat_Normative|Norms|Social_bond|MotiveCat_Power_distance|Power_difference|MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Inappropriate_behaviour,MotiveCat_Normative|Social_bond|MotiveCat_Power_distance|Power_difference|Inappropriate_behaviour,MotiveCat_Normative|Norms|Inappropriate_behaviour
MotiveCat_Saving_face|MotiveCat_Fear|Avoid_trouble|MotiveCat_Power_distance|Power_difference|Abusive_supervision|Lack_of_professionalism|Unfair_distribution_of_rewards|Violation_of_policy,MotiveCat_Normative|Workplace_culture|MotiveCat_Fear|Scared_to_discuss|MotiveCat_Power_distance|Power_difference|Underqualified_underperforming_for_position,MotiveCat_Fear|Scared_to_discuss|MotiveCat_Power_distance|Power_difference|Violation_of_policy
MotiveCat_Normative|Norms|Social_bond|MotiveCat_Instrumental|Secret_to_outsiders|Affair,MotiveCat_Saving_face|Maintain_relationship|Maintain_reputation|MotiveCat_Instrumental|Concealing_facts|Secret_to_outsiders|Affair,MotiveCat_Instrumental|Secret_to_outsiders|Affair
Breakdown_in_relationship|Dating,MotiveCat_Saving_face|Avoid_drama|MotiveCat_Normative|Norms|Breakdown_in_relationship|Dating|Troubles_in_romantic_relationship,MotiveCat_Normative|Norms|Dating
MotiveCat_Saving_face|Protect_feelings|Avoid_difficult_discussion|Maintain_relationship|MotiveCat_Normative|Norms|Workplace_culture|MotiveCat_Fear|Avoid_trouble|MotiveCat_Power_distance|Power_difference|Discriminatory_behaviour,MotiveCat_Saving_face|Maintain_relationship|MotiveCat_Normative|Workplace_culture|MotiveCat_Power_distance|Power_difference|Discriminatory_behaviour,MotiveCat_Saving_face|Avoid_drama|MotiveCat_Normative|Workplace_culture|Discriminatory_behaviour|Lack_of_professionalism
|,|,|
|,|,|
MotiveCat_Saving_face|Maintain_privacy|Avoid_drama|Dating,MotiveCat_Saving_face|Maintain_privacy|Dating,MotiveCat_Saving_face|Maintain_privacy|Dating
MotiveCat_Saving_face|Maintain_privacy|Protect_feelings|Avoid_drama|Maintain_relationship|Maintain_reputation|MotiveCat_Normative|Social_bond|MotiveCat_Protective|Protect_other|MotiveCat_Instrumental|Secret_to_outsiders|Affair,MotiveCat_Saving_face|Maintain_privacy|Avoid_drama|MotiveCat_Protective|Protect_other|MotiveCat_Instrumental|Secret_to_outsiders,MotiveCat_Saving_face|Maintain_privacy|MotiveCat_Protective|Protect_other|MotiveCat_Power_distance|Power_difference|Affair
MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Negative_career_consequence,MotiveCat_Instrumental|Gain_advantage_over_others|Negative_career_consequence,MotiveCat_Normative|Norms|Negative_career_consequence
MotiveCat_Saving_face|Avoid_difficult_discussion|MotiveCat_Normative|Workplace_culture|MotiveCat_Protective|Protect_other|Abusive_supervision|Underqualified_underperforming_for_position,MotiveCat_Power_distance|Power_difference|Maintain_hierarchy|Abusive_supervision|Lack_of_professionalism,MotiveCat_Protective|Protect_other|Abusive_supervision
MotiveCat_Saving_face|Maintain_privacy|Avoid_drama|Extrarelational_desires|Lack_of_professionalism|Troubles_in_romantic_relationship,MotiveCat_Saving_face|Avoid_drama|Extrarelational_desires,MotiveCat_Saving_face|Avoid_drama|Extrarelational_desires
MotiveCat_Instrumental|Concealing_facts|Abusive_supervision|Negative_career_consequence,MotiveCat_Instrumental|Concealing_facts|Illegal_unwanted_behaviour|Negative_career_consequence,MotiveCat_Saving_face|Maintain_privacy|Abusive_supervision
MotiveCat_Saving_face|Maintain_privacy|Avoid_difficult_discussion|MotiveCat_Fear|Avoid_trouble|MotiveCat_Power_distance|Power_difference|MotiveCat_Efficacy_concerns|Efficacy_concerns|Illegal_unwanted_behaviour,MotiveCat_Saving_face|Maintain_privacy|MotiveCat_Protective|Protect_other|Avoid_discrimination|MotiveCat_Fear|Avoid_trouble|MotiveCat_Efficacy_concerns|Efficacy_concerns|Corruption_nepotism|Discriminatory_behaviour|Illegal_unwanted_behaviour|Lack_of_professionalism,MotiveCat_Saving_face|Maintain_privacy|MotiveCat_Protective|Protect_other|Abusive_supervision|Dating|Troubles_in_romantic_relationship
MotiveCat_Normative|Norms|Workplace_culture|MotiveCat_Instrumental|Concealing_facts|MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Dating|Leaving_company|Positive_career_change|Violation_of_policy,MotiveCat_Normative|Norms|Workplace_culture|Dating|Leaving_company,MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Dating|Leaving_company
MotiveCat_Saving_face|Avoid_difficult_discussion|Avoid_drama|Affair,MotiveCat_Saving_face|Avoid_difficult_discussion|Affair,MotiveCat_Saving_face|Avoid_difficult_discussion|Affair
MotiveCat_Instrumental|Gain_advantage_over_others|Leaving_company,MotiveCat_Power_distance|Maintain_hierarchy|MotiveCat_Instrumental|Gain_advantage_over_others|Leaving_company,MotiveCat_Instrumental|Concealing_facts|Leaving_company
MotiveCat_Fear|Avoid_trouble|MotiveCat_Efficacy_concerns|Efficacy_concerns|Abusive_supervision|Illegal_unwanted_behaviour,MotiveCat_Fear|Avoid_trouble|Scared_to_discuss|MotiveCat_Power_distance|Power_difference|Maintain_hierarchy|Abusive_supervision|Corruption_nepotism,MotiveCat_Fear|Avoid_trouble|Abusive_supervision
MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Dating|Violation_of_policy,MotiveCat_Saving_face|Maintain_privacy|MotiveCat_Power_distance|Power_difference|Affair,MotiveCat_Saving_face|Maintain_privacy|MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Dating
MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Affair,MotiveCat_Normative|Workplace_culture|Affair,MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Affair
MotiveCat_Fear|Avoid_trouble|Closeted_sexuality|Corruption_nepotism|Violation_of_policy,MotiveCat_Fear|Scared_to_discuss|MotiveCat_Power_distance|Power_difference|Corruption_nepotism|Dating,MotiveCat_Fear|Scared_to_discuss|MotiveCat_Power_distance|Power_difference|Closeted_sexuality|Corruption_nepotism|Dating
MotiveCat_Saving_face|Maintain_reputation|Maintain_professionalism|MotiveCat_Normative|Norms|Social_bond|MotiveCat_Fear|Avoid_trouble|Seniority_over_competence|Underqualified_underperforming_for_position,MotiveCat_Saving_face|Maintain_reputation|MotiveCat_Instrumental|Secret_to_outsiders|Underqualified_underperforming_for_position,MotiveCat_Instrumental|Secret_to_outsiders|Underqualified_underperforming_for_position
MotiveCat_Saving_face|Avoid_difficult_discussion|MotiveCat_Fear|Scared_to_discuss|MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Bad_news_about_company,MotiveCat_Normative|Norms|Bad_news_about_company,MotiveCat_Saving_face|Avoid_difficult_discussion|Bad_news_about_company
MotiveCat_Fear|Avoid_trouble|MotiveCat_Power_distance|Power_difference|MotiveCat_Efficacy_concerns|Efficacy_concerns|Inappropriate_behaviour,MotiveCat_Fear|Avoid_trouble|MotiveCat_Power_distance|Power_difference|Maintain_hierarchy|MotiveCat_Efficacy_concerns|Efficacy_concerns|MotiveCat_Instrumental|Gain_advantage_over_others|Illegal_unwanted_behaviour,MotiveCat_Fear|Avoid_trouble|MotiveCat_Power_distance|Power_difference|Inappropriate_behaviour
MotiveCat_Saving_face|Maintain_privacy|Protect_feelings|Maintain_professionalism|Underqualified_underperforming_for_position,MotiveCat_Saving_face|Maintain_morale|Protect_feelings|MotiveCat_Normative|Workplace_culture|Underqualified_underperforming_for_position,MotiveCat_Saving_face|Protect_feelings|Concealing_facts|Underqualified_underperforming_for_position
MotiveCat_Saving_face|Maintain_privacy|MotiveCat_Instrumental|Concealing_facts|Positive_career_change|Violation_of_policy,MotiveCat_Instrumental|Concealing_facts|Secret_to_outsiders|Positive_surprise,MotiveCat_Saving_face|Maintain_privacy|Financial_information
MotiveCat_Normative|Workplace_culture|Dating|Illegal_unwanted_behaviour|Violation_of_policy,MotiveCat_Normative|Workplace_culture|MotiveCat_Power_distance|Power_difference|Maintain_hierarchy|MotiveCat_Efficacy_concerns|Efficacy_concerns|Dating|Illegal_unwanted_behaviour,MotiveCat_Normative|Workplace_culture|Dating|Inappropriate_behaviour
MotiveCat_Saving_face|Avoid_difficult_discussion|Maintain_professionalism|MotiveCat_Normative|Norms|Dating|Lack_of_professionalism|Violation_of_policy,MotiveCat_Saving_face|Avoid_difficult_discussion|Maintain_professionalism|MotiveCat_Normative|Norms|Dating,MotiveCat_Saving_face|Avoid_difficult_discussion|Maintain_professionalism|Dating
MotiveCat_Saving_face|Avoid_difficult_discussion|MotiveCat_Instrumental|Concealing_facts|Affair,MotiveCat_Normative|Norms|Affair,MotiveCat_Instrumental|Concealing_facts|Affair
MotiveCat_Saving_face|Maintain_privacy|Protect_feelings|Maintain_relationship|MotiveCat_Normative|Social_bond|MotiveCat_Instrumental|Concealing_facts|Dating|Positive_surprise,MotiveCat_Saving_face|Maintain_privacy|Negative_career_consequence,MotiveCat_Saving_face|Maintain_privacy|Dating
MotiveCat_Saving_face|Avoid_drama|Maintain_relationship|MotiveCat_Protective|Protect_other|Affair,MotiveCat_Saving_face|Protect_feelings|Avoid_drama|Maintain_relationship|Affair,MotiveCat_Saving_face|Avoid_drama|Affair
|,|,|
MotiveCat_Fear|Avoid_trouble|MotiveCat_Power_distance|Power_difference|Affair|Violation_of_policy,MotiveCat_Fear|Avoid_trouble|MotiveCat_Power_distance|Power_difference|Maintain_hierarchy|Affair|Negative_career_consequence,MotiveCat_Fear|Avoid_trouble|MotiveCat_Power_distance|Power_difference|Affair|Leaving_company
MotiveCat_Saving_face|Maintain_morale|Protect_feelings|Avoid_difficult_discussion|Maintain_relationship|Maintain_professionalism|Negative_career_consequence,MotiveCat_Normative|Norms|Workplace_culture|Negative_career_consequence,MotiveCat_Normative|Norms|Negative_career_consequence
MotiveCat_Saving_face|Maintain_morale|Maintain_reputation|MotiveCat_Power_distance|Inappropriate_behaviour,MotiveCat_Saving_face|Maintain_reputation|MotiveCat_Power_distance|Power_difference|Inappropriate_behaviour,MotiveCat_Saving_face|Maintain_reputation|MotiveCat_Instrumental|Concealing_facts|Bad_news_about_company|Inappropriate_behaviour
MotiveCat_Saving_face|Maintain_privacy|Protect_feelings|Maintain_reputation|MotiveCat_Protective|Protect_other|Avoid_discrimination|MotiveCat_Fear|Scared_to_discuss|MotiveCat_Instrumental|Secret_to_outsiders|Closeted_sexuality,MotiveCat_Protective|Protect_other|Avoid_discrimination|Closeted_sexuality,MotiveCat_Protective|Avoid_discrimination|MotiveCat_Instrumental|Secret_to_outsiders|Closeted_sexuality
MotiveCat_Saving_face|Avoid_difficult_discussion|MotiveCat_Power_distance|Maintain_hierarchy|Dating|Violation_of_policy,MotiveCat_Power_distance|Power_difference|Maintain_hierarchy|Dating|Violation_of_policy,MotiveCat_Power_distance|Maintain_hierarchy|Dating|Violation_of_policy
MotiveCat_Saving_face|Protect_feelings|Avoid_difficult_discussion|Avoid_drama|MotiveCat_Instrumental|Concealing_facts|Affair,MotiveCat_Saving_face|Protect_feelings|Maintain_reputation|Affair,MotiveCat_Saving_face|Maintain_reputation|Affair
MotiveCat_Normative|Social_bond|MotiveCat_Instrumental|Concealing_facts|Negative_career_consequence,MotiveCat_Instrumental|Concealing_facts|Bad_news_about_company|Negative_career_consequence,MotiveCat_Saving_face|Maintain_privacy|MotiveCat_Instrumental|Secret_to_outsiders|Negative_career_consequence
MotiveCat_Normative|Workplace_culture|MotiveCat_Instrumental|Gain_advantage_over_others|Corruption_nepotism,MotiveCat_Power_distance|Power_difference|MotiveCat_Instrumental|Gain_advantage_over_others|Corruption_nepotism|Unfair_distribution_of_rewards,MotiveCat_Instrumental|Gain_advantage_over_others|Abusive_supervision
MotiveCat_Saving_face|Avoid_difficult_discussion|MotiveCat_Fear|Scared_to_discuss|Illegal_unwanted_behaviour,MotiveCat_Saving_face|Avoid_difficult_discussion|Illegal_unwanted_behaviour,MotiveCat_Saving_face|Avoid_difficult_discussion|Illegal_unwanted_behaviour
MotiveCat_Saving_face|Avoid_difficult_discussion|Avoid_drama|Maintain_relationship|Leaving_company,MotiveCat_Saving_face|Avoid_difficult_discussion|Maintain_professionalism|Leaving_company,MotiveCat_Saving_face|Avoid_difficult_discussion|Avoid_drama|Leaving_company
MotiveCat_Saving_face|Maintain_morale|Avoid_drama|Maintain_relationship|MotiveCat_Instrumental|Concealing_facts|Positive_surprise,MotiveCat_Normative|Workplace_culture|Social_bond|MotiveCat_Power_distance|Power_difference|MotiveCat_Instrumental|Secret_to_outsiders|Positive_surprise,MotiveCat_Saving_face|Protect_feelings|MotiveCat_Instrumental|Secret_to_outsiders|Unfair_distribution_of_rewards
MotiveCat_Saving_face|Maintain_privacy|Avoid_difficult_discussion|Maintain_relationship|Maintain_reputation|MotiveCat_Normative|Workplace_culture|Social_bond|MotiveCat_Instrumental|Gain_advantage_over_others|Abusive_supervision|Affair|Closeted_sexuality|Contradictory_messaging|Negative_career_consequence,MotiveCat_Normative|Workplace_culture|Social_bond|MotiveCat_Protective|Protect_other|MotiveCat_Power_distance|Power_difference|MotiveCat_Instrumental|Gain_advantage_over_others|Affair|Bad_news_about_company|Closeted_sexuality,MotiveCat_Saving_face|Avoid_difficult_discussion|MotiveCat_Normative|Workplace_culture|Social_bond|Closeted_sexuality|Dating|Negative_career_consequence
MotiveCat_Saving_face|Maintain_privacy|Avoid_difficult_discussion|Avoid_drama|Maintain_relationship|Maintain_reputation|Breakdown_in_relationship|Troubles_in_romantic_relationship,MotiveCat_Saving_face|Maintain_relationship|Maintain_reputation|Troubles_in_romantic_relationship,MotiveCat_Saving_face|Avoid_difficult_discussion|Troubles_in_romantic_relationship
MotiveCat_Fear|Avoid_trouble|MotiveCat_Power_distance|Maintain_hierarchy|Abusive_supervision|Breakdown_in_relationship,MotiveCat_Fear|Avoid_trouble|Abusive_supervision,MotiveCat_Fear|Avoid_trouble|Abusive_supervision|Health_condition
MotiveCat_Power_distance|Power_difference|MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Bad_news_about_company|Financial_information|Leaving_company|Underqualified_underperforming_for_position,MotiveCat_Saving_face|Maintain_morale|Protect_feelings|Maintain_reputation|Bad_news_about_company|Seniority_over_competence|Underqualified_underperforming_for_position,MotiveCat_Efficacy_concerns|Efficacy_concerns|Bad_news_about_company|Leaving_company
MotiveCat_Saving_face|Maintain_privacy|Maintain_relationship|MotiveCat_Normative|Social_bond|Dating,MotiveCat_Saving_face|Maintain_privacy|Dating,MotiveCat_Saving_face|Maintain_privacy|Dating
MotiveCat_Saving_face|Avoid_difficult_discussion|Avoid_drama|MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Affair,MotiveCat_Saving_face|Maintain_privacy|Avoid_drama|Affair,MotiveCat_Saving_face|Avoid_drama|MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Affair
MotiveCat_Fear|Avoid_trouble|MotiveCat_Power_distance|Maintain_hierarchy|MotiveCat_Efficacy_concerns|Efficacy_concerns|Corruption_nepotism|Lack_of_professionalism|Violation_of_policy,MotiveCat_Saving_face|Avoid_difficult_discussion|MotiveCat_Normative|Workplace_culture|MotiveCat_Power_distance|Maintain_hierarchy|MotiveCat_Efficacy_concerns|Efficacy_concerns|Corruption_nepotism|Lack_of_professionalism|Unfair_distribution_of_rewards|Violation_of_policy,MotiveCat_Saving_face|Avoid_difficult_discussion|Corruption_nepotism
MotiveCat_Instrumental|Concealing_facts|Positive_surprise,MotiveCat_Instrumental|Concealing_facts|Positive_surprise,MotiveCat_Instrumental|Concealing_facts|Positive_surprise
|,|,|
MotiveCat_Saving_face|Avoid_difficult_discussion|Negative_career_consequence,MotiveCat_Instrumental|Concealing_facts|Negative_career_consequence,MotiveCat_Instrumental|Concealing_facts|Bad_news_about_company
MotiveCat_Saving_face|Maintain_privacy|Maintain_reputation|MotiveCat_Normative|Workplace_culture|MotiveCat_Fear|Scared_to_discuss|MotiveCat_Instrumental|Concealing_facts|Positive_surprise,MotiveCat_Normative|Social_bond|MotiveCat_Instrumental|Concealing_facts|Gain_advantage_over_others|Positive_surprise,MotiveCat_Saving_face|Maintain_reputation|MotiveCat_Instrumental|Concealing_facts|Positive_career_change|Positive_surprise
MotiveCat_Saving_face|Maintain_morale|Maintain_privacy|Protect_feelings|Avoid_difficult_discussion|Maintain_relationship|Health_condition|Violation_of_policy,MotiveCat_Saving_face|Protect_feelings|Maintain_professionalism|Health_condition,MotiveCat_Saving_face|Protect_feelings|Health_condition
MotiveCat_Power_distance|Power_difference|MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Abusive_supervision|Corruption_nepotism,MotiveCat_Power_distance|Power_difference|Maintain_hierarchy|MotiveCat_Instrumental|Gain_advantage_over_others|Abusive_supervision|Corruption_nepotism|Seniority_over_competence|Unfair_distribution_of_rewards,MotiveCat_Normative|Norms|MotiveCat_Power_distance|Power_difference|Abusive_supervision|Negative_career_consequence
MotiveCat_Instrumental|Concealing_facts|Positive_surprise,MotiveCat_Instrumental|Concealing_facts|Positive_surprise,MotiveCat_Instrumental|Concealing_facts|Positive_surprise
